Save Date,08:47:35 2020/12/10
Mode,User

Sampling Time(ms),8.0
Time Scale(ms/div),2000.0
Data Length(ms),20000.0

Trigger Enable,0
Trigger Channel,1
Trigger Level(div),0.0
Trigger Type,0
Pre Trigger(div),5.0
AlarmNo,1

CH1,1,0,2,1,0.000
CH2,1,0,2,2,0.000
CH3,1,0,2,3,0.000
CH4,0,0,2,4,0.000
CH5,0,0,2,5,0.000
CH6,0,0,2,6,0.000
CH7,0,0,0,1,0.000
CH8,0,0,0,1,0.000
CH9,0,0,0,1,0.000
CH10,0,0,0,1,0.000

CH1,1,0,0.0,50.00
CH2,1,0,0.0,50.00
CH3,1,0,0.0,50.00
CH4,1,0,0.0,50.00
CH5,1,0,0.0,50.00
CH6,1,0,0.0,50.00
CH7,1,0,0.0,1000.00
CH8,1,0,0.0,1000.00
CH9,1,0,0.0,1000.00
CH10,1,0,0.0,1000.00

Time,CH1,CH2,CH3
ms,%,%,%
1008.0,-12.641968,-37.763306,-60.303406
1016.0,-10.751770,-39.907562,-60.120483
1024.0,-9.511963,-40.527466,-62.020844
1032.0,-7.926636,-41.513214,-61.685486
1040.0,-7.428680,-42.610748,-63.026917
1048.0,-5.264099,-44.470459,-62.224091
1056.0,-6.463257,-44.053802,-61.787109
1064.0,-5.507996,-46.137085,-61.187531
1072.0,-4.064941,-44.196075,-59.378632
1080.0,-3.983643,-42.387177,-61.400940
1088.0,-5.548645,-41.208344,-60.902985
1096.0,-4.827118,-39.501068,-59.358307
1104.0,-4.186890,-39.267334,-58.077850
1112.0,-4.024292,-38.261261,-56.096191
1120.0,-3.739746,-38.423859,-56.431549
1128.0,-4.207214,-38.901489,-57.193726
1136.0,-3.516174,-38.118988,-57.620544
1144.0,-3.800720,-38.799866,-57.234375
1152.0,-5.243774,-39.440094,-56.777069
1160.0,-5.345398,-42.590424,-57.295349
1168.0,-5.081177,-41.726624,-58.159149
1176.0,-6.168549,-43.616821,-61.248505
1184.0,-6.686829,-44.155426,-60.201782
1192.0,-5.904327,-43.068054,-58.961975
1200.0,-5.467346,-45.334259,-60.303406
1208.0,-5.863678,-41.746948,-61.604187
1216.0,-6.686829,-45.273285,-61.807434
1224.0,-6.402283,-41.553864,-61.228180
1232.0,-6.666504,-40.771362,-60.821686
1240.0,-6.148224,-39.765289,-57.722168
1248.0,-5.823029,-40.141296,-58.220123
1256.0,-4.959229,-40.547791,-58.616455
1264.0,-5.345398,-39.744965,-58.260773
1272.0,-2.784485,-37.702332,-59.317657
1280.0,-2.784485,-38.820190,-58.596130
1288.0,-2.357666,-39.765289,-58.860352
1296.0,-2.418640,-39.866913,-59.002625
1304.0,-2.682861,-40.771362,-58.596130
1312.0,-2.875946,-42.092468,-59.236359
1320.0,-4.258026,-41.513214,-60.120483
1328.0,-2.814972,-42.214417,-59.500580
1336.0,-3.678772,-43.789581,-60.720062
1344.0,-3.821045,-43.250977,-59.876587
1352.0,-5.060852,-41.828247,-60.018860
1360.0,-5.101501,-43.555847,-58.474182
1368.0,-6.341309,-41.828247,-59.459930
1376.0,-5.660431,-42.570099,-59.175385
1384.0,-5.467346,-40.649414,-58.901001
1392.0,-6.646179,-38.901489,-59.104248
1400.0,-7.611603,-39.887238,-57.976227
1408.0,-7.804688,-39.247009,-58.758728
1416.0,-7.205109,-39.368958,-59.256683
1424.0,-5.528320,-40.466492,-57.112427
1432.0,-6.188873,-40.964447,-56.919342
1440.0,-5.406372,-40.344543,-57.772980
1448.0,-4.867767,-40.751038,-56.340088
1456.0,-4.217377,-41.309967,-58.779053
1464.0,-5.203125,-41.147369,-59.683502
1472.0,-5.040527,-42.692047,-57.752655
1480.0,-4.298676,-42.549774,-57.722168
1488.0,-3.902344,-43.271301,-57.874603
1496.0,-3.638123,-44.775330,-58.199799
1504.0,-3.201141,-40.944122,-60.059509
1512.0,-3.160492,-42.549774,-59.216034
1520.0,-4.217377,-41.604675,-58.535156
1528.0,-3.384064,-39.226685,-57.396973
1536.0,-4.684845,-39.826263,-57.640869
1544.0,-5.660431,-40.009186,-57.376648
1552.0,-4.440948,-38.799866,-56.350250
1560.0,-5.507996,-40.984772,-57.478271
1568.0,-5.863678,-38.281586,-57.996552
1576.0,-5.884003,-39.846588,-57.874603
1584.0,-6.727478,-39.866913,-58.362396
1592.0,-5.782379,-41.248993,-57.000641
1600.0,-6.209198,-39.805939,-57.254700
1608.0,-7.184784,-40.507141,-57.894928
1616.0,-6.463257,-41.086395,-57.915253
1624.0,-6.249847,-42.285553,-57.640869
1632.0,-4.745819,-41.929871,-57.854279
1640.0,-5.721405,-42.468475,-58.342072
1648.0,-4.166565,-42.255066,-57.478271
1656.0,-5.284424,-41.350616,-58.077850
1664.0,-2.916595,-40.629089,-58.281097
1672.0,-4.125916,-40.222595,-57.539246
