ASS1;Rob1;IP1;ASS2;Rob2;IP2;ASS3;Rob3;IP3;ASS4;Rob4;IP4;ASS5;Rob5;IP5;ASS6;Rob6;IP6;ASS7;Rob7;IP7;ASS8;Rob8;IP8;ASS9;Rob9;IP9;ASS10;Rob10;IP10;ASS11-1;Rob11-1;IP11-1;ASS11-2;Rob11-2;IP11-2
ASS1;10IR01;172.18.125.1;ASS2;R1;172.18.125.21;ASS3;R1;172.18.125.25;ASS4;R1;172.18.125.29;ASS5;R1;172.18.125.31;ASS6;10AR01;172.18.125.40;ASS7;101R1;172.18.125.55;ASS8;R1;172.18.125.63;ASS9;R1;172.18.125.64;ASS10;R1;172.18.125.69;ASS11-1;L R1;172.18.125.73;ASS11-2;R R1;172.18.125.76
ASS1;20IR01;172.18.125.2;ASS2;R2;172.18.125.22;ASS3;R2;172.18.125.26;ASS4;R2;172.18.125.30;ASS5;R2;172.18.125.32;ASS6;20AR01;172.18.125.41;ASS7;102R1;172.18.125.56;;;;ASS9;R2;172.18.125.65;ASS10;R2;172.18.125.70;ASS11-1;L R2;172.18.125.74;ASS11-2;R R2;172.18.125.77
ASS1;20IR02;172.18.125.3;ASS2;R3;172.18.125.23;ASS3;R3;172.18.125.27;;;;ASS5;R3;172.18.125.33;ASS6;20AR02;172.18.125.42;ASS7;103R1;172.18.125.57;;;;ASS9;R3;172.18.125.66;ASS10;R3;172.18.125.71;ASS11-1;L R3;172.18.125.75;ASS11-2;R R3;172.18.125.78
ASS1;25IR01;172.18.125.4;ASS2;R4;172.18.125.24;ASS3;R4;172.18.125.28;;;;ASS5;R1(4);172.18.125.34;ASS6;30AR01;172.18.125.43;ASS7;201R1;172.18.125.58;;;;ASS9;R1 lewa;172.18.125.67;ASS10;R4;172.18.125.72;;;;;;
ASS1;30IR01;172.18.125.5;;;;;;;;;;ASS5;R2(5);172.18.125.35;ASS6;40AR01;172.18.125.44;ASS7;202R1;172.18.125.59;;;;ASS9;R2 lewa;172.18.125.68;;;;;;;;;
ASS1;30IR02;172.18.125.6;;;;;;;;;;;;;ASS6;40AR02;172.18.125.45;ASS7;203R1;172.18.125.60;;;;;;;;;;;;;;;
ASS1;35IR01;172.18.125.7;;;;;;;;;;;;;ASS6;45AR01;172.18.125.46;ASS7;204R1;172.18.125.61;;;;;;;;;;;;;;;
ASS1;40IR01;172.18.125.8;;;;;;;;;;;;;ASS6;45AR02;172.18.125.47;ASS7;301AR1;172.18.125.62;;;;;;;;;;;;;;;
ASS1;40IR02;172.18.125.9;;;;;;;;;;;;;ASS6;50AR01;172.18.125.48;;;;;;;;;;;;;;;;;;
ASS1;45IR01;172.18.125.10;;;;;;;;;;;;;ASS6;60AR01;172.18.125.49;;;;;;;;;;;;;;;;;;
ASS1;50IR01;172.18.125.11;;;;;;;;;;;;;ASS6;60AR02;172.18.125.50;;;;;;;;;;;;;;;;;;
ASS1;50IR02;172.18.125.12;;;;;;;;;;;;;ASS6;65AR01;172.18.125.51;;;;;;;;;;;;;;;;;;
ASS1;55IR01;172.18.125.13;;;;;;;;;;;;;ASS6;70AR01;172.18.125.52;;;;;;;;;;;;;;;;;;
ASS1;57IR01;172.18.125.14;;;;;;;;;;;;;ASS6;80AR01;172.18.125.53;;;;;;;;;;;;;;;;;;
ASS1;60IR01;172.18.125.15;;;;;;;;;;;;;ASS6;90AR01;172.18.125.54;;;;;;;;;;;;;;;;;;
ASS1;60IR02;172.18.125.16;;;;;;;;;;;;;ASS6;240AR01;172.18.125.36;;;;;;;;;;;;;;;;;;
ASS1;65IR01;172.18.125.17;;;;;;;;;;;;;ASS6;270AR01;172.18.125.37;;;;;;;;;;;;;;;;;;
ASS1;70IR01;172.18.125.18;;;;;;;;;;;;;ASS6;310AR1;172.18.125.38;;;;;;;;;;;;;;;;;;
ASS1;70IR02;172.18.125.19;;;;;;;;;;;;;ASS6;400AR01;172.18.125.39;;;;;;;;;;;;;;;;;;
ASS1;80IR01;172.18.125.20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
